Section,Page,Issue Statement,Safety trait(s),Comments,Reason
Exhibit A (Documents Received by the DCISC),90,DA-U2 FCV-174 EH leak,Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),94,DA-Failure to Specify Elastomer Replacem,Work Processes;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),94,DA-Contractor performing work w/o qual,Continuous Learning;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),94,DA-U1 Eagle 21 Rack 08 Potential FME iss,Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),94,DA-Work Performed outside Scope,Work Processes;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),97,DA-Possible Misapplied ECG 18.7,Work Processes;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),97,DA-1Q22 GNCV Inadequate proc guidance,Work Processes;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),97,DA-Rad Waste Cont Iso Valves Went Closed,Work Processes;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),97,DA-Trend: Unsecured Delay Gates,Problem Identification and Resolution;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),97,DA-EAL TBM SU1.4 Pg 183 Incorrect,Work Processes;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),97,DA-QAAF - XI1.ID5 not consistently follo,Work Processes;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),97,LTCA - DA - FCV -23 Failed to stroke open,Work Processes;,"Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),97,DA-DG 2-3 ISOC freq is out of limits,"Work Processes;
Continuous Learning;","Needs OCR, In table E",
Exhibit A (Documents Received by the DCISC),97,ASW PP 2-1 Motor Bearing Degraded,"Work Processes;
Problem Identification and Resolution;","Needs OCR, In table E",
,190,"On January 11, 2018, the CPUC voted unanimously to adopt Decision D. 18-01- 022 approving PG&E's Application to retire Diablo Canyon by 2025, approving PG&E's recovery in its rates the costs associated with the retirement of the power plant; costs incurred for license renewal expenses; to retain Diablo Canyon employees until scheduled closing, and to retrain workers. The Decision, which was issued on January 16, 2018, in approving $211.3 million and not the $352.1 million sought by PG&E did not approve full funding by the ratepayers for the Employee Retention Program as proposed in PG&E's its Application and instead directed, consistent with the Proposed Decision, that the ratepayer-supported
employee retention incentive payments be reduced from 25% to 15% per year. The CPUC denied in its entirety PG&E's request to recover in its rates the Community Impact Mitigation funding provided to the San Luis Obispo area and determined that consideration of electricity procurement to replace Diablo Canyon power should be addressed in the CPUC's Integrated Resources Planning procurement proceedings. In October 2018, the Commission denied an Application for Rehearing of Decision 18-01-022 filed by the group Californians for Green Nuclear Power.","Questioning Attitude;
Leadership Safety Values and Actions;",,
,191,"On May 22, 2018, the DCISC sent a letter in support of those aspects of SB 1090 with regard to appropriate funding for the Employee Retention Program to Senator Monning and expressed its opinion that a well-designed and appropriately funded employee retention incentive program was essential to Diablo Canyon's safe operation until retirement and, while the DCISC did not opine on what precise funding level was appropriate, the 15% proposal seemed to the Committee to be inadequate based on the Committee Members' interactions with the plant staff.",Decision-Making;,,
"Volume II, Exhibit B.3, Minutes of the October 19-20, 2021 Public Meeting",208,The FFT discussed with both Mr. Krause and Ms. Athar the failure of the motor for Auxiliary Saltwater System pump 1-1 and a need for the DCISC to follow-up on that issue. ,Problem Identification and Resolution;,,
"Volume II, Exhibit B.3, Minutes of the October 19-20, 2021 Public Meeting",210,Unit 2 EDG 2-3 is currently in a Red status window due to a significant fuel oil leak that occurred when the EDG 2-3 was run for maintenance and this event resulted in a critical equipment clock reset for the plant as well as an NRC Maintenance Rule functional failure.,"Problem Identification and Resolution;
Work Processes;",,
"Volume II, Exhibit B.3, Minutes of the October 19-20, 2021 Public Meeting",211,Mr. McWhorter reported during 2R22 the plant experienced three planned Yellow conditions and two additional unplanned Yellow windows. One of these additional Yellow  windows occurred when the auxiliary and Component Cooling Water System heat exchanger was shut down and a leak was experienced on the heat exchanger which required the exchanger to be taken out of service. A second additional Yellow condition was experienced during 2R22 due to a change in the outage schedule that drove a return to service sooner and entering into lowered inventory earlier than scheduled when offsite power was not available.,Problem Identification and Resolution;,,
"Volume II, Exhibit B.3, Minutes of the October 19-20, 2021 Public Meeting",215,"Until October 15, 2021, Unit 2 was operating at 100% when it experienced a feedwater tube leak in a feedwater heater which he described as equipment on the secondary side (non-nuclear) of the plant which serves to heat feedwater before it is returned to the steam generators. Unit 2 was taken offline to protect the turbine and to make repairs which are now underway. Mr. Harbor reported seven tubes have been identified as having failed and are being analyzed and other feedwater heaters are being inspected to determine extent of condition and to ensure no other failures are imminent.",Problem Identification and Resolution;,,
"Volume II, Exhibit B.3, Minutes of the October 19-20, 2021 Public Meeting",219,"Unit 2, LER 2021-001-00, was submitted on 9/20/2021, which documented that Emergency Diesel Generator (EDG) 2-3 operated at less than the required Technical Specification minimmum alternating current frequency of 60 Hertz (60 cycles per second) when started in automatic.",Problem Identification and Resolution;,,
"Volume II, Exhibit B.3, Minutes of the October
19-20, 2021 Public Meeting",230,"2R21 - Generator rewind annd rebuild, outage durection September - December 2019",Problem Identification and Resolution;,,
"Volume II, Exhibit B.3, Minutes of the October
19-20, 2021 Public Meeting",230,2Y22 - Weld failure at stator core cooling water (SCCW) inlet water box and hydrogen leark during July 2020.,Problem Identification and Resolution;,,"Mr. Peck reported the RCE determined that Root Cause One was attributed to inadequate mitigation of the bore ring assembly stick-slip phenomenon during core installation. He stated the bore rings are large bands, about 20 feet in diameter, which provide radial compression and stiffness of the 100-ton stator core. It was discovered that despite having been torqued to the specified value during construction the bore rings had loosened and required tightening on three separate occasions. "
"Volume II, Exhibit B.3, Minutes of the October
19-20, 2021 Public Meeting",230,"2Z22 - Weld failure at stator core cooling water (SCCW) parallel ring and hydrogen leak, outage duration from October - November 2020.",Problem Identification and Resolution;,,"Mr. Peck reported the RCE determined that Root Cause One was attributed to inadequate mitigation of the bore ring assembly stick-slip phenomenon during core installation. He stated the bore rings are large bands, about 20 feet in diameter, which provide radial compression and stiffness of the 100-ton stator core. It was discovered that despite having been torqued to the specified value during construction the bore rings had loosened and required tightening on three separate occasions. "
"Volume II, Exhibit B.3, Minutes of the October
19-20, 2021 Public Meeting",230,"2G22 - Weld failure at SCCW inlet water box and hydrogen leak, outage duration from December 2020-January 2021.",Problem Identification and Resolution;,,"Mr. Peck reported the RCE determined that Root Cause One was attributed to inadequate mitigation of the bore ring assembly stick-slip phenomenon during core installation. He stated the bore rings are large bands, about 20 feet in diameter, which provide radial compression and stiffness of the 100-ton stator core. It was discovered that despite having been torqued to the specified value during construction the bore rings had loosened and required tightening on three separate occasions. "
"Volume II, Exhibit B.3, Minutes of the October
19-20, 2021 Public Meeting",230,"2H22/2R22 - High vibration on end-windings and electrical parallel rink conductor break and hydrogen leak, outage duration from February 2021- April 2021.",Problem Identification and Resolution;,,Mr. Peck reported the RCE determined Root Cause Two to be due to inadequate mitigation for resonant frequencies on the exciter end parallel rings and end windings. He reported a resonant frequency of 120 herz (Hz) was experienced which he described as a frequency which can amplify and cause damage. He reported there were some areas in the end-winding in the parallel ring where the 120 Hz frequency was not fully mitigated.
"Volume II, Exhibit B.3, Minutes of the October
19-20, 2021 Public Meeting",253,Dr. Peterson observed in some instances a concern may be raised because there may be things done because of safety requirements or procedures that may not be necessary and these can potentially be an obstacle to safety or cause focus to be lost or diminished on other aspects which are important to safety. Dr. Peterson observed if employees feel constrained in raising issues about what they perceive to be unnecessary aspects this can create a creeping willingness to follow procedures and he states his belief that having too many unnecessary requirements is one of the more challenging aspects of organizational management and addressing employee concerns.,"Leadership Safety Values and Actions;
Questioning Attitude;",,
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",265,"Feedwater Heater 2-5B exhibited leak indications and power was reduced and then when the leaks were found to be greater than initially measured, Unit 2 was shut down for repairs. When the plant was returned to 100% power the leakage from Feedwater Heater 2-5B was found to increase and Unit 2 was again shut down. Tubes were identified to have failed and were repaired and Unit 2 returned to 100% power operation with no further indication of feedwater tube leakage.",Problem Identification and Resolution;,,
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",278,Root Cause Evaluation for Failed Auxiliary Saltwater Pump Motor - Mr. McWhorter state Auxiliary Saltwater System (ASW) pump 1-2 failed in Jul 2021 when a routine changeover of ASW pumps on Unit 1 triggered a ground alarm in the Control Room. Operators shut down ASW pump 1-2 and ASW pump 1-1 was left runnning. Mr. McWhorter reported the root cause evaluation (RCE) established the failure was due to contamination inside the motor and while the motor could have possibly remained in service the decision was made to replace the motor. McWhorter reported DCPP sought and received a license amendment to extend the 72-hour time limit for the replacement of the pump motor and accomplished the work in just over 72 hours. ,Problem Identification and Resolution;,,He reported the motor heater failed and allowed moisture to build up inside the motor windings which then allowed ocean air mineral deposits to accumulate and he stated this raise programmatic concerns identified in the RCE regarding the failure to timely address known degration of equipment.
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",279,Mr. McWhorter described the issue as a long-standing regulatory matter that could affect safety due to one of the phases possibly being open on the transmission system supplying power to the plant not being sensed automatically which could affect starts of plant equipment during an emergency.,Problem Identification and Resolution;,,
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",281,Emergency Diesel Generator System Follow-up Items - Mr. McWhorter states this was a follow-up review from the July 2021 fact-finnding to review the cause evaluation of a diesel fuel leak from an emergency diesel generator (EDG) which occured at a fitting termed a banjo bolt.,Problem Identification and Resolution;,,
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",281,Mr. McWhorter reported a second item reviewed concerned a low frequency event which occured in July 2021 when an EDG started for a surveillance testing and failed to achieve the required frequency. He reported this was determined to be caused by human error on the part of the planners in not specifying the correct post-maintenance procedure test to perform following tuning done on the generator's governor as the testing performed did not test the EDG across all modes of operation for the governor. ,"Problem Identification and Resolution;
Decision-Making;",,
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",312,He reported operator rounds conducted on the 85' level of the Turbine Building typically take approximately one to two hours to complete and include reading gauges which monitor equipment for anomalies which may require action.,Problem Identification and Resolution;,,
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",312,"He reported there have been problems found with some refueling equipment, particularly with control systems due to the age of the equipment.",Decision-Making;,,
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",313,The FFT observed a meeting of the PHC which addressed an issue with the failures experienced with fan belts obtained from a new vendor and installed on ventilation equipment in the Auxiliary Building.,Decision-Making;,,"Non-ideal decision of choosing a new vendor, which degraded the quality of resources."
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",313,The PHC also reviewed an issue with the condensate polisher resin and Mr. Wardell reported samples have been sent to the supplier and the issue remains unresolved and he recommended the DCISC should follow-up on this issue.,Questioning Attitude;,,
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",314,Mr. Wardell stated that as the Committee received a presentation on this issue during this public meeting he would not review this item in depth but he stated at the time of the January 2022 factfinding the cause evaluation results were available which determined the probable cause to be fatigue fracture of the feedwater heater tubes and other feedwater heaters will be reviewed to determine the extent of condition and Mr. Wardell recommended the DCISC follow up on the results of that review.,"Personal Accountability;
Questioning Attitude;
Problem Identification and Resolution;",,The issue was not addressed the first time.
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",325,"The FFT received an update on system health and found three Tier 1 systems in Red[4] status, those being Unit 1 and Unit 2 Emergency Diesel Generator Systems and the Unit 2 stator closed cooling water system, all of which involved issues the Committee has reviewed in the past.",Continuous Learning;,,Issue persisted from past.
"Volume II, Exhibit B.6, Minutes of the February
15-16, 2022 Public Meeting",325,"Consultant McWhorter reported this event occurred on December 21, 2021, when a small amount of boric acid was inadvertently added to the Reactor Coolant System (RCS) on Unit 2 which addition resulted in an unintentional 0.12 percent decrease in reactor power. He reported this event was a Reactivity Management Level 4 event in a scale of Levels 1-6 with 6 being the most severe. Mr. McWhorter reported the avoidance of inadvertent changes in reactor power is a fundamental tenet of operations. The cause was operators failing to recognize that a surveillance test on a valve in the boric acid addition system had failed to close a valve before they commenced a second test, such that when the second test began boric acid entered the RCS. Mr. McWhorter reported this was atypical of control room operations and corrective actions were put in place and deficiencies identified. Shift personnel were taken off their shifts and required to requalify and retrain.","Personal Accountability;
Decision-Making;
Work Processes;",,Error by Shift personnel
,465,"Open Phase Protection – The installation of systems to automatically detect and respond to a potential open-phase condition that could affect safety-related equipment had been completed. However, concerns with reliability of the automatic trip functions led to a planned modification to permanently disable the automatic trip functions and rely instead upon operator action. This modification was approved by the NRC and planned to be implemented during Refueling Outage 1R23 in the spring of 2022.",Problem Identification and Resolution;,,
,465,"Broken Turbine Building Dead-end Insulator – A dead-end insulator on Unit 1, B Phase, was found to have its outer shell broken. Mr. Vo reviewed the basis for continued operability with the FFT and reported that both the ability to support the line and adequate insulating capability were being maintained until repairs could be made during an upcoming outage.",Problem Identification and Resolution;,,
,465,Tower 5/6 Insulator Hairline Crack – Aerial inspection of the tie line identified a crack on an insulator at Tower 5/6. Mr. Vo reviewed the basis for continued operability with the FFT and reported that both the ability to support the line and adequate insulating capability were being maintained until repairs could be completed.,Problem Identification and Resolution;,,
,467,"The only minor issue, which affected only the Non-vital Batteries on both units, was the presence of some hairline cracks on the lids caused by expansion of the internal plates. The cracks did not affect the structural integrity of the case and were being monitored to ensure they did not move into the sides of the battery cases.",Problem Identification and Resolution;,Not sure which category to place it,"Just listing the issue, just in case, it is relevant"
,469,"The DCISC did not review Steam Generators during the current reporting period; however, performance to date has been good, and no problems have been reported.",Continuous Learning;,,
,472,"A Unit 2 Forced Outage in July 2020 (2Y22) was properly managed, and corrective actions to identify and repair a hydrogen leak in the Main Generator were appropriate. Two Outage Coordination Center meetings were conducted by conference call and effectively facilitated with crisp and clear informational exchanges across a large number of planned work activities. DCPP appropriately managed a second and third Unit 2 Forced Outage (2Z22 and 2G22) which were driven by similar hydrogen leaks and vibration issues on the Main Generator. Ultimately, the unit was removed from service for additional modifications during a fourth Forced Outage (2H22) and Refueling Outage 2R22. The DCISC planned to review the final Root Cause Evaluation for the problem when finalized.",Problem Identification and Resolution;,,
,477,"The biggest challenge during the outage occurred in the area of industrial safety
with the occurrence of one recordable injury in the Radiation Protection
Department. There were no major issues with the identification or transmission of
the COVID-19 among outage workers. There were challenges in obtaining the
desired number of supplemental employees to work during the outage, but these
were addressed by rescheduling or reallocating resources","Personal Accountability;
Work Processes;",,
,478,The last two goals were not achieved due to the occurrence of a secondary side problem shortly after plant startup and synchronization of the Main Generator (which defines the end of the Refueling Outage). The secondary side problem involved the failure of a pressure control valve and the subsequent lifting of a relief valve on the Steam Generator Blowdown Flash Tank. The problem required taking the Main Generator back offline in order to isolate steam and cool down secondary side systems to facilitate repairs. ,Work Processes;,,
,499,"In 2022 there are five impaired doors, which will be repaired or replaced soon.",Work Processes;,,
,502,"Some inconsistences were observed in verbal communications, but this was not unexpected considering the fact that most of the crew were not regularly serving together as on-shift Operators.",Decision-Making;,,
,508,"Regarding the impacts of recent losses, there were a few areas where personnel losses were heavier or more concentrated than desired. Areas heavily impacted by recent losses included In-Service Inspection (ISI) Engineering, Reactor Engineering, and Electrical Maintenance. The losses in the Engineering Department were very concerning to many individual employees, and the department was focusing on ensuring that any resulting gaps were being identified and appropriate actions taken.",Leadership Safety Values and Actions;,,
,509,The Nuclear Safety Oversight Committee expressed concerns with leadership turnover but also acknowledged that they also could not identify any specific negative trends or issues that had occurred due to leadership turnover.,Leadership Safety Values and Actions;,,
,517,"Following vaccinations, the number of COVID-19 cases for employees dropped; however, the number of cases recently started to trend back upward, similar to trends seen within the local community. DCPP was continuing to be very successful in avoiding worker-to-worker transmissions of the disease on site. Employees continued to be screened daily via software that required employees to answer several questions to confirm they were healthy prior to reporting to work. Recently, the software had been slightly modified to align with current state and federal guidance for vaccination status, travel restrictions, and quarantine procedures. When the screening resulted in a concern over an employee's health, the employee was referred to their supervisor and a representative from the Human Relations (HR) Department for further guidance according to a pre-determined process. Typically, about ten employees were referred to HR for further guidance each workday by the screening software.",Personal Accountability;,,
,561,"In early January 2020, a Notification was submitted expressing concern about the vibrations and listing five minor equipment issues that may have been caused by the vibration [Stator Closed Cooling Water line vibrations, stripped bolt on turbine skirt, etc.; SAPN (Corrective Action Program Notification) 51061328]",Problem Identification and Resolution;,,
,563,"Mr. Ginn then reported to the FFT that the ERO teams had experienced higher than normal turnover in 2020 and 2021 due to retirements, career opportunities from outside of the nuclear industry, and routine internal job changes. Overall, personnel transitions impacted about 100 team positions (out of approximately 280 total) during the 18-month period.",Leadership Safety Values and Actions;,,Inadequate resource allocation
,565,"The pump motor failed during a routine start on July 5, placing the plant into a 72-hour Limited Condition for Operation to return the pump to service or otherwise begin shutdown of the unit. Replacement of the motor was a complex evolution due primarily to its location deep inside the Intake Structure, and work planners estimated that the time required to replace the motor could exceed the 72-hour window if any problems arose that added to the scope of the work.",Problem Identification and Resolution;,,
,565,"The NRC and the FFT both considered that DCPP appropriately managed the pump replacement; however, the Cause Evaluation for the ASW Pump motor failure warranted further review following its completion.","Problem Identification and Resolution;
Continuous Learning;",,
,568,The ambient onsite direct radiation levels within the DCPP plant site boundary near the Independent Spent Fuel Storage Installation (ISFSI) were elevated due to dry cask spent fuel storage. ,Work Processes;,,
,568,The levels of tritium detected in groundwater were approximately 2% of federal standards for the allowable maximum concentrations of tritium in drinking water. This tritium was evaluated and attributed to rain-washout of gaseous tritium exiting the plant vent system via an approved and monitored isotopic-effluents discharge path.,Work Processes;,,
,572,"The QHSA was performed by two DCPP engineers and three industry peers, and it reviewed a total of 4 Evaluations and 31 Screenings. The report identified 2 deficiencies, 12 gaps, and 35 enhancements. No evaluations were identified that reached incorrect conclusions; however, the QHSA team identified two Screenings that should have but did not result in the performance of Evaluations. The findings were entered into the Corrective Action System for further action. ",Work Processes;,,
,574,The EDG Local Control Panel alarm relay modules are obsolete with limited replacement modules available. A design change has been initiated to facilitate future replacements with a newer module design on an as-needed basis. EDG Fuel Oil Day Tank level switches fail often during testing. Alternative designs are being evaluated for the level switches. Fuel Oil Transfer Pump motors are aging prematurely due to an increase in their required duty cycle. Replacements are scheduled for May 2022.,Problem Identification and Resolution;,,
,575,"A significant fuel oil leak occurred on EDG 2-3 during a maintenance run in June 2021, and the EDG was shut down to repair the leak. The size of the leak was judged to have rendered the EDG unable to run for the duration of time needed in the accident analyses, and the failure was therefore classified as a Maintenance Rule Functional Failure and a Critical Equipment Clock Reset. The Cause Evaluation had not been completed as of the date of the FFT's meetings. This failure was the primary driver for the Red (Unhealthy) system health classification, and it was forecasted that the system health would return to Green (Healthy) at the end of the third quarter of 2021.",Problem Identification and Resolution;,,
,575,"The EDG control system components (Woodward motor-operated potentiometer governors) were no longer available and considered obsolete. Modifications to upgrade the governors were completed on EDG 2-2 in October 2019. An alternative plan was approved that canceled replacement of the governors on EDGs 2-1 and 2-3. Instead, portions of the old governor systems were retained, evaluated by Engineering, and approved for use as replacements on EDGs 2-1 and 2-3, should future problems occur. This action to make spares available would address the obsolescence issue for the two remaining EDGs, which was the primary purpose of the replacement modifications. The EDG Local Control Panel alarm relay modules are obsolete with limited replacement modules available. A design change has been initiated to facilitate future replacements with a newer module design on an as-needed basis. EDG Fuel Oil Day Tank level switches fail often during testing. Alternative
designs are being evaluated for the level switches. Fuel Oil Transfer Pump motors are aging prematurely due to an increase in their required duty cycle. Replacements are scheduled for May 2022.",Problem Identification and Resolution;,,
,582,"The outage managers confirmed that the Outage Safety Plan was not fully complete or approved on February 18, 2021, which was the date that station management decided to accelerate the start of the outage (originally scheduled to begin March 14, 2021). Concerns about this situation were discussed by management, and it was decided to allow Unit 2 to transition from Mode 3 (Hot Standby) to Mode 5 (Cold Shutdown) but no high-risk activities would be started until the Outage Safety Plan was complete and approved.",Problem Identification and Resolution;,,
,596,"For Unit 1 the report showed that 100% of the total 40,450 square foot accessible non-submerged area received visual inspections, and soundings were made on about 31,425 square feet (78%) of the area. The soundings determined that approximately 1,597 square feet (3.9%) of the surface area contained delaminations that required repair and/or further monitoring. For Unit 2 100% of the 40,450 square foot accessible non-submerged area received visual inspections. About 31,425 (78%) square feet were sounded for delaminations with 2,262 square feet (5.6%) found to be delaminated. Deficiencies found during the inspection were documented in the Corrective Action Program Notifications and reviewed by Engineering to determine what corrective action would be required.",Problem Identification and Resolution;,,
,605,"The Reactor Coolant Pump (RCP) Vibration Monitoring System has become obsolete and cannot fully retain or trend vibration data from the RCPs. Modifications were in progress to replace the systems on both units. This modification has been implemented on Unit 1. However, Digital and Predictive Engineering have reported that there are periodic issues with the indication. As a result, implementation on Unit 2 has been deferred.",Problem Identification and Resolution;,,
,605,"As a result of aging concerns and to recapture operating margin, Core Exit Thermocouple (CET) replacements for one port occurred during Refueling Outage 1R17. However, due to budget constraints and higher priority work in the same field location, CET replacement activities for other CETs have not been assigned a recommended date. ","Leadership Safety Values and Actions;
Problem Identification and Resolution;",,
,605,Unit 1 has been experiencing elevated in-leakage into the Pressurizer Relief Tank (PRT) for multiple cycles. This has an impact on the RCS leak rate. This places a burden on Operations to drain the PRT and drain the Reactor Coolant Drain Tank (RCDT) on a more frequent basis. This has been entered into the Corrective Action Program.,Problem Identification and Resolution;,,
,605,"The RCP Vibration Monitoring System has become obsolete and cannot fully retain or trend vibration data from the RCPs. Modifications were in progress to replace the systems on both units. Specifically, this modification has been implemented on Unit 1. However, Digital and Predictive Engineering have reported that there are periodic issues with the indication. As a result, implementation on Unit 2 has been deferred.",Problem Identification and Resolution;,,
,606,Elevated hydrogen concentration in the Unit 2 PRT has resulted in Operations performing more frequent PRT purges to keep PRT within specifications. PRT purge equipment is being cycled more than was done in previous cycles making it susceptible to failure. This issue is being tracked with the Corrective Action Program.,Problem Identification and Resolution;,,
,616,"Given the straightforward failure mechanism for the motor, the Cause Evaluation (which was almost complete at the time of this Fact-Finding Meeting but had not been formally approved) was focusing more on the programmatic deficiencies that led to the failure. Specifically, personnel participating in the Cause Evaluation were concerned that the safety-related ASW Pump motor was known to be in a degraded condition, but corrective actions were not initiated in a timely manner to prevent the failure. Additionally, there was no monitoring in place for a known degraded motor heater which ultimately failed without being detected by operators.","Problem Identification and Resolution;
Work Processes;",,
,617,"Overall, DCPP's indicators for ER performance were Yellow (Needing Improvement) due primarily to unanticipated equipment failures, mainly vibration issues in the Unit 2 Main Generator. ",Problem Identification and Resolution;,,
Volume II 3.12 Emergency Preparedness Exercise Observation,627,There was one weakness noted regarding methods used to correlate dose assessment models to dose data collected by field monitoring teams. The FFT reviewed the 17 demonstration criteria that were not satisfactorily completed and found that most were minor and were addressed via discussion during the facility critiques. Approximately 29 Notifications were written to initiate corrective actions for deficiencies and other shortcomings identified during exercise preparation and execution. PG&E’s evaluation also described the exercise which caused several control board indications to freeze and was the source of the confusion over the units and trends for Containment pressure observed by the DCISC as noted above. ,"Problem Identification and Resolution;
Effective Safety Communication;",,
Volume II 3.12 Emergency Preparedness Exercise Observation,627,"Approximately 29 Notifications were written to initiate corrective actions for deficiencies and other shortcomings identified during exercise preparation and execution. Power was lowered to 90% to isolate the FWH to perform inspection and repair. The reactor was then shut down because of high FWH level. A borescope examination showed a tube failure and other tube damage. Eddy Current Testing (ECT) showed the extent of condition, which was repaired. The unit was returned to power but shut down again due to additional tube leak indications. Further 100% ECT indicated additional repairs were needed, which we performed, and the unit was brought back up to power with extended FWH monitoring.",Problem Identification and Resolution;,,
Volume II 3.5 Feedwater Heater Tube Failure and Forces Reactor Shutdowns,638,"During startup from Outage 2R22 on October 15, 2021, FWH 2-5B was exhibiting indications of tube leakage.",Problem Identification and Resolution;,,
Volume II 3.6 Operating Experience Program Update,639,"The one case since the previous DCISC review in 2018 was a missed opportunity in a 2011 OE Program item, Auxiliary Feedwater System piping leaks, which for DCPP occurred in June 2020. The event consisted of corrosion and leakage underneath pipe insulation, which had not been regularly inspected. This could have been prevented if the 2011 OE Program event had been adequately reviewed and an inspection program initiated.",Problem Identification and Resolution;,,
Volume II 3.9 NRC Ultimate Heat Sink Inspection Results,644,DCPP should consider benchmarking other plants for any heat exchanger health/performance monitoring with respect to the heat exchangers on the diesels and the RHR heat exchangers.,Work Processes;,,
Volume II 3.9 NRC Ultimate Heat Sink Inspection Results,644,"Currently, Section 13 of PEP M-234 offers no description of how the data in the table was generated. ",Work Processes;,,
Volume II 3.1 Root Cause Evaluation for Failed Auxiliary Saltwater Pump Motor),648,"On July 5, 2021, operators attempted to perform a routine swap of running ASW pumps. When they started ASW Pump 1-1, a low ground alarm occurred, indicating a possible problem with the pump motor. Operators then aborted the attempted pump start and left ASW 1-2 pump in service.",Problem Identification and Resolution;,,
Volume II 3.2 Transmission System,651,"Broken Turbine Building Dead-end Insulator - A dead-end insulator on Unit 1, B Phase, was found to have its outer shell broken. Mr. Vo reviewed the basis for continue operability with the FFT and reported that both the ability to support the line and adequate insulating capability were being maintained until repairs could be made during an upcoming outage.",Problem Identification and Resolution;,,
